cluster_num,background_threshold,cluster_num_intensities_avg,cluster_num_intensities_max,cluster_num_intensities_min,cluster_num_intensities_std,cluster_peak_intensities_avg,cluster_peak_intensities_max,cluster_peak_intensities_min,cluster_peak_intensities_std,cluster_sizes_avg,cluster_sizes_std,cluster_sizes_max,cluster_sizes_min,cluster_sizes_sum,cluster_x_avg,cluster_y_avg,cluster_dist_min,cluster_dist_max,largest_clusters_distance,brightest_clusters_distance,num_large_clusters,num_small_clusters,num_bright_clusters,num_dark_clusters
50.0,0.0,13.844045651470525,6.03957927563e-312,6.039150751944e-312,6.03973822232e-312,14.92,255.0,1.0,49.37077678141189,35.58,46.114678791031395,225.0,1.0,1779.0,513.46,475.32,19.235384061671343,1251.2653595460877,418.1506905411015,418.1506905411015,42.0,8.0,17.0,33.0
104.0,0.0,11.164914932223487,6.03954409373e-312,6.03954409373e-312,6.03954409373e-312,11.375,255.0,1.0,36.75103020534045,28.134615384615383,36.29501387993093,179.0,1.0,2926.0,536.2019230769231,473.7980769230769,17.204650534085253,1223.943217637158,537.7294858941622,605.5617227005023,84.0,20.0,27.0,77.0
71.0,1.0,12.496172792397235,3.1370586158,861.0412301394167,30605.0,11.56338028169014,255.0,2.0,34.16188980917565,34.16901408450704,49.93375496538853,273.0,1.0,2426.0,464.9718309859155,513.7464788732394,24.041630560342615,1235.9692552810527,758.6415490862598,841.5034165111869,59.0,12.0,24.0,47.0
49.0,2.0,13.07435564416863,3.509850979,1185.9789205546615,67916.0,22.612244897959183,255.0,3.0,51.61229735070486,53.63265306122449,107.12794065262092,635.0,1.0,2628.0,417.2857142857143,564.5714285714286,13.601470508735444,1243.5569950750146,798.0689193296529,257.6703320136022,43.0,6.0,33.0,16.0
169.0,0.0,6.639654435964691,1.3711289835,786.3663268477358,4007.0,6.621301775147929,255.0,1.0,26.394790963774607,20.526627218934912,29.501191448963066,161.0,1.0,3469.0,462.2248520710059,509.2307692307692,2.0,1319.3517347546106,1064.4214390926181,137.11673858431726,115.0,54.0,28.0,141.0
51.0,1.0,17.44381875520155,1.4725840345,959.7020370927635,43633.0,26.92156862745098,255.0,2.0,64.56577225247922,47.68627450980392,58.24407407240753,236.0,1.0,2432.0,590.9215686274509,492.3529411764706,21.95449840010015,1135.7508529602785,344.6534491340541,337.8313188560232,45.0,6.0,25.0,26.0
2216.0,191.0,4.407225900830432,0.0005952857,1186.8184359875777,67504.0,196.49819494584838,254.0,192.0,6.801995645119154,86.9043321299639,3238.075400807859,151292.0,1.0,192580.0,433.56949458483757,468.8285198555957,2.0,1187.283453940128,646.5616753257186,366.00683053735486,622.0,1594.0,2216.0,0.0
66.0,0.0,13.259618890184878,2.8721399479,1130.6692708303344,61838.0,15.045454545454545,255.0,1.0,46.08504385608884,30.12121212121212,45.954363116464286,263.0,1.0,1988.0,450.25757575757575,427.469696969697,8.06225774829855,1153.08716062577,267.02996086581743,267.02996086581743,49.0,17.0,20.0,46.0
73732.0,9.0,1.7136601838141556,0.0015564493,805.4675660757546,10114.0,17.66188357836489,255.0,10.0,5.843887115822755,2.4126159605056148,2.4401755003570873,62.0,1.0,177887.0,498.6154993761189,497.12820756252376,8.06225774829855,1153.08716062577,1.0,1.0,9143.0,64589.0,73732.0,0.0
35.0,1.0,14.46837508329876,0.4727619945,1027.4945255328614,50228.0,14.17142857142857,255.0,2.0,44.87601059063307,32.0,43.13169202735799,224.0,1.0,1120.0,540.7714285714286,514.9428571428572,14.317821063276353,1216.5500400723352,444.6684157886638,444.6684157886638,29.0,6.0,15.0,20.0
