Id,Predicted
8042027,1.2890162
2679287,1.3106447
6664898,-0.0027609468
8523812,0.0028856695
6478640,0.7622936
7170640,1.4077811
7188259,3.585167
1687602,0.49515697
9463639,-0.0045124292
2401695,0.0014381707
6707439,3.2358131
7095833,2.3577688
8510664,3.897607
6967726,1.5324328
2060968,1.370738
8822052,1.5383023
5884667,1.3612721
4170565,2.8672311
1524169,0.8735516
2578851,2.982538
3407630,1.2900351
5470184,2.7601879
3616311,1.5098456
6971772,1.5179974
6053796,2.734711
1982436,1.3152763
9302616,2.6460974
4179149,1.4487761
6816578,1.4716823
4248068,1.2273638
1534047,1.570098
6427320,1.3765146
4612888,1.8127071
8085983,0.0048920214
9222313,0.44325292
9418197,1.2545556
4400864,1.6785381
2113110,2.3611104
9589596,3.2849379
5051324,2.7845752
4742705,1.3180566
1974981,0.01025483
3513636,3.534481
1914315,0.00022256374
9451167,1.2797546
4145779,-0.0022805333
2299386,0.0023356974
2824799,-0.0003132224
5477192,0.010861784
1416067,1.4001918
7388128,0.00029936433
5852789,1.6703218
4596268,1.2026579
5077138,3.2202818
8556360,1.8217552
1925134,1.6647694
8218313,2.2748847
3634999,-0.00043034554
5500115,2.6866364
5393346,3.961075
9879364,1.2601564
7887227,2.816498
5716082,-0.0014268756
5281921,3.653224
2951152,2.6672072
7074776,1.2891599
5033848,4.2769017
2466353,3.8113353
8472746,0.87949157
8874192,2.0690112
3320238,1.3867776
4404226,1.7801349
8289363,2.2761762
4398442,1.2753987
9952702,3.8407884
8557873,0.9449898
6439886,2.0945516
5147136,2.5509088
4413250,1.8300953
6785837,2.8703015
7862504,1.2550209
4842010,3.103546
1290640,1.3031179
5950755,1.2587633
1000956,1.3424664
9107418,2.9040096
4419741,2.2586133
4414071,3.8185022
3916395,3.5390353
5932645,1.259537
2901355,1.3159419
3301421,2.192144
3480336,0.0059151053
3155206,1.8159766
5318639,1.5147783
4596635,2.8653793
1202948,1.2224047
6167219,1.4413171
7889552,1.5606622
2413326,0.00205639
9374984,2.8315215
8565821,1.5889913
4494406,1.3193047
1337336,1.2727144
4504972,0.003651917
4814304,2.7550597
9268089,2.3339462
1882418,1.3625067
5292511,1.3424551
4697007,1.2300687
1410742,1.7512405
9653619,1.6605608
9507883,3.0913963
3263316,1.3836665
3893504,2.6812677
7283725,1.413949
2500634,0.72833866
8473067,2.8934994
9701938,1.6111878
9179723,2.0216155
6218728,1.4883406
4204576,0.00037965178
1997149,3.1681077
1391525,-0.0031132698
2800638,2.3591135
9105276,1.4199848
9404438,2.3722525
8861810,2.8856966
8644898,3.7357929
9081138,1.4504073
8311526,1.3610595
4721635,1.4308922
6616536,2.181022
9159546,1.3804514
2612674,1.6548319
